Symbol,Name,Sector
AAPL,Apple Inc,Technology
MSFT,Microsoft Corp,Technology
UNH,UnitedHealth Group Inc,Healthcare
GS,Goldman Sachs Group Inc,Financial Services
HD,Home Depot Inc,Consumer Discretionary
CAT,Caterpillar Inc,Industrials
AMGN,Amgen Inc,Healthcare
CRM,Salesforce Inc,Technology
V,Visa Inc,Financial Services
BA,Boeing Co,Industrials
TRV,Travelers Companies Inc,Financial Services
AXP,American Express Co,Financial Services
MCD,McDonald's Corp,Consumer Discretionary
IBM,International Business Machines Corp,Technology
DIS,Walt Disney Co,Communication Services
MMM,3M Co,Industrials
JNJ,Johnson & Johnson,Healthcare
WMT,Walmart Inc,Consumer Staples
NKE,Nike Inc,Consumer Discretionary
JPM,JPMorgan Chase & Co,Financial Services
CVX,Chevron Corp,Energy
PG,Procter & Gamble Co,Consumer Staples
MRK,Merck & Co Inc,Healthcare
VZ,Verizon Communications Inc,Communication Services
KO,Coca-Cola Co,Consumer Staples
CSCO,Cisco Systems Inc,Technology
WBA,Walgreens Boots Alliance Inc,Consumer Staples
HON,Honeywell International Inc,Industrials
INTC,Intel Corp,Technology
DOW,Dow Inc,Materials
